occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
273041,ENT,Editors,ENT-Editors
273042,ENT,Technical Writers,ENT-Technical Writers
273043,ENT,Writers And Authors,ENT-Writers And Authors
273091,ENT,Interpreters And Translators,ENT-Interpreters And Translators
273092,ENT,Court Reporters And Simultaneous Captioners,ENT-Court Reporters And Simultaneous Captioners
273099,ENT,"Media And Communication Workers, All Other","ENT-Media And Communication Workers, All Other"
274021,ENT,Photographers,ENT-Photographers
274030,ENT,"Television, Video, And Film Camera Operators And Editors","ENT-Television, Video, And Film Camera Operators And Editors"
2740XX,ENT,Other Media And Communication Equipment Workers,ENT-Other Media And Communication Equipment Workers
291011,MED,Chiropractors,MED-Chiropractors
291020,MED,Dentists,MED-Dentists
291031,MED,Dietitians And Nutritionists,MED-Dietitians And Nutritionists
291041,MED,Optometrists,MED-Optometrists
291051,MED,Pharmacists,MED-Pharmacists
291071,MED,Physician Assistants,MED-Physician Assistants
291081,MED,Podiatrists,MED-Podiatrists
291122,MED,Occupational Therapists,MED-Occupational Therapists
291123,MED,Physical Therapists,MED-Physical Therapists
291124,MED,Radiation Therapists,MED-Radiation Therapists
291125,MED,Recreational Therapists,MED-Recreational Therapists
291126,MED,Respiratory Therapists,MED-Respiratory Therapists
291127,MED,Speech-Language Pathologists,MED-Speech-Language Pathologists
29112X,MED,Other Therapists,MED-Other Therapists
291131,MED,Veterinarians,MED-Veterinarians
291141,MED,Registered Nurses,MED-Registered Nurses
291151,MED,Nurse Anesthetists,MED-Nurse Anesthetists
291181,MED,Audiologists,MED-Audiologists
2911XX,MED,"Nurse Practitioners, And Nurse Midwives","MED-Nurse Practitioners, And Nurse Midwives"
291210,MED,Physicians,MED-Physicians
291240,MED,Surgeons,MED-Surgeons
291291,MED,Acupuncturists,MED-Acupuncturists
291292,MED,Dental Hygienists,MED-Dental Hygienists
291299,MED,"Healthcare Diagnosing Or Treating Practitioners, All Other","MED-Healthcare Diagnosing Or Treating Practitioners, All Other"
292010,MED,Clinical Laboratory Technologists And Technicians,MED-Clinical Laboratory Technologists And Technicians
292031,MED,Cardiovascular Technologists And Technicians,MED-Cardiovascular Technologists And Technicians
292032,MED,Diagnostic Medical Sonographers,MED-Diagnostic Medical Sonographers
292034,MED,Radiologic Technologists And Technicians,MED-Radiologic Technologists And Technicians
292035,MED,Magnetic Resonance Imaging Technologists,MED-Magnetic Resonance Imaging Technologists
29203X,MED,Nuclear Medicine Technologists And Medical Dosimetrists,MED-Nuclear Medicine Technologists And Medical Dosimetrists
292042,MED,Emergency Medical Technicians,MED-Emergency Medical Technicians
292043,MED,Paramedics,MED-Paramedics
292052,MED,Pharmacy Technicians,MED-Pharmacy Technicians
292053,MED,Psychiatric Technicians,MED-Psychiatric Technicians
292055,MED,Surgical Technologists,MED-Surgical Technologists
292056,MED,Veterinary Technologists And Technicians,MED-Veterinary Technologists And Technicians
29205X,MED,Dietetic Technicians And Ophthalmic Medical Technicians,MED-Dietetic Technicians And Ophthalmic Medical Technicians
292061,MED,Licensed Practical And Licensed Vocational Nurses,MED-Licensed Practical And Licensed Vocational Nurses
292072,MED,Medical Records Specialists,MED-Medical Records Specialists
292081,MED,"Opticians, Dispensing","MED-Opticians, Dispensing"
292090,MED,Miscellaneous Health Technologists And Technicians,MED-Miscellaneous Health Technologists And Technicians
299000,MED,Other Healthcare Practitioners And Technical Occupations,MED-Other Healthcare Practitioners And Technical Occupations
311121,HLS,Home Health Aides,HLS-Home Health Aides
311122,HLS,Personal Care Aides,HLS-Personal Care Aides
311131,HLS,Nursing Assistants,HLS-Nursing Assistants
31113X,HLS,Orderlies And Psychiatric Aides,HLS-Orderlies And Psychiatric Aides
312010,HLS,Occupational Therapy Assistants And Aides,HLS-Occupational Therapy Assistants And Aides
312020,HLS,Physical Therapist Assistants And Aides,HLS-Physical Therapist Assistants And Aides
319011,HLS,Massage Therapists,HLS-Massage Therapists
319091,HLS,Dental Assistants,HLS-Dental Assistants
319092,HLS,Medical Assistants,HLS-Medical Assistants
319094,HLS,Medical Transcriptionists,HLS-Medical Transcriptionists
319095,HLS,Pharmacy Aides,HLS-Pharmacy Aides
319096,HLS,Veterinary Assistants And Laboratory Animal Caretakers,HLS-Veterinary Assistants And Laboratory Animal Caretakers
319097,HLS,Phlebotomists,HLS-Phlebotomists
31909X,HLS,Other Healthcare Support Workers,HLS-Other Healthcare Support Workers
331011,PRT,First-Line Supervisors Of Correctional Officers,PRT-First-Line Supervisors Of Correctional Officers
331012,PRT,First-Line Supervisors Of Police And Detectives,PRT-First-Line Supervisors Of Police And Detectives
